Address,Allocation %
0x61c884e885f2761b38b49a3e6624d02d7f8c3084,0.05279142343%
0xf7e86d00ae14a8104dc7606e2524ff412fd3e137,0.05271820712%
0x730488d5fb9bf55a52fd10797b7d549b55d708e4,0.05157957380%
0x5001f992df93dc089c356514eec6ac40b0e1c792,0.05123213069%
0x3415187c90ca060591f74565cdb67bd0c931f204,0.05097730576%
0x2f9d9fd4bf733cacd541ec9540b10935be24b98b,0.05081322780%
0x895e9a0fcc48db100e90bba81971df69d70e6d02,0.05080878779%
0xdfad1bd1616e58f3acb081a14a4fc4446de9fc4c,0.05077716984%
0x9e368dec0eaf2cb94c040cb70266c8649e94cf46,0.05044962824%
0x5879b2f7f0dc2b9ef81f6a539c36afbfda2af40f,0.05042682471%
0xf26f650ebc7d43c778a30a181340b87513c68c08,0.05039094623%
0x8ab5e419c22229eee09874593e9456b60d379c8d,0.05028476521%
0x4f37bc721e36e7d4d3599878548adfa4224835ee,0.05011299560%
0xf9135a6b8bff308faf8f1a2e5edf6c92c70a5a8d,0.05008174383%
0x2e19aee873d446b2da69873a0f2d8fc56d535b8f,0.05008129998%
0xed9370b720e76fff1ecafa5310efde6da6c5c08b,0.04999666882%
0x8538e7d48fd961edf6f56c03b60f8f3ddf43f7d5,0.04996197270%
0xcde7287a632d3a25ad13ac28af1d32d54a78bba5,0.04995929848%
0x17d5f70c6cf613cafdedd6e95935295f1daa2280,0.04995061123%
0x376930fc74c307eb9b47dae3514a16f967e7f33e,0.04994934970%
0x1f879a0aaf8afaf42d351fe47b5a30da0385339a,0.04994934559%
0xfc7ddcb69edbf6f88668e377e359ede407b80699,0.04994094628%
0xb95dfe9f7301c753eb899ffe9b36a42c774904dd,0.04985050711%
0xc67bcd96c4a74bbf4d0b6793e9f032c017a153f3,0.04982660853%
0x01535764501ae1dccd6a7a4452e1368e4a32c83b,0.04982232555%
0xa1b04dd16ad6b29b3f151e0a04944a070f5d0dd2,0.04982103576%
0x95011b346420127a6c132da9156b53e731206f95,0.04981988530%
0x450c71e4d32d54bb44fc7571e95f7cfd8f67437d,0.04981090065%
0xd9536d18b7710be629ebb7e7aac91eafc96ef025,0.04980458920%
0xff03e4519e9775f0d5388ecb0bd2a8cd36d9a457,0.04980138197%
0xde587d0c7773bd239ff1be87d32c876ded4f7879,0.04979371412%
0xe22817a91a14d61cb3691954983663425f5513b1,0.04955253828%
0xefbc53e0afdc9f649bc1ab692461df57e70a560f,0.04937981337%
0x013cc394844aa993d73ca9a08d89dd6d046f3bcc,0.04904839587%
0x1d00d4808e2e1bb7179a9b7c2c5c1c7981eec652,0.04864548880%
0xc8d42ec0ea8f543e01bd49199f6a1888ae11023b,0.04857410815%
0xe76183d03fcad988f74a2645c122b06b467f6649,0.04808924675%
0xf4b40b20572d117ead7b5ca3c7eff7d3cbdc4067,0.04798076578%
0xe610c6de59e10fe84d017b3141f8c0f23a325d30,0.04793025255%
0x0af416e3cd8fde69ce9844b0dffab88bb68ca625,0.04702635341%
0x4b79ef9056dd2d1d72b163040b4ad90b7610cc3a,0.04654531688%
0x8ce0d1a7f2d1c54ebcc9d7bad9439ac2068609f9,0.04649041562%
0x676475bc7b5eec4c71da7e3d6e7993af26b759bc,0.04646400243%
0x72aa9a60efe6ec16a7ac9cc7bb5605b2ac5284fb,0.04645952462%
0x4a24fd841e74c28309bca5730b40679e18c5fca0,0.04645695155%
0xd5298655298430f3f2333ada8930c7ed960e32e2,0.04644119578%
0xfe5ab5708621848ec898bbc0e456a3d24d1e7878,0.04643009655%
0xc4458d3b458e686fd29e2b9bad308d052a7c7cb1,0.04633780323%
0x2e2e95ff8042a14fa49deb03bdb9d9113868494e,0.04627272241%
0xa034ef98a17e753a31cf864c1f8a09c8563835ea,0.04622670922%
0x82dfbace28357d21a854d3a3ff14a0b42404a8f9,0.04622257832%
0x2a7a36211d306cec6cdad19c48840b5b9f9423e6,0.04621464129%
0xfc6c82514573f7c40e3a1592e2444d6885b2fadf,0.04618637617%
0xecafe404ef43553325eef8a7e393d6b651065bbf,0.04617635561%
0x22c032d041a70150134aa350b595afe162afb993,0.04610590537%
0xa39054d385f688ee638d6af321110a8c1c0bb592,0.04607640919%
0x2446f1a75162f045d02f23d1d3b0f5a2c0f9a4cb,0.04599893481%
0x0f3696b56b09b3234f540d50e067d0f5b2e536d7,0.04590644259%
0x0b2989398f82caab9ccc77ec7d8bc87c8e39d021,0.04588971208%
0xfd28d67ed154b734257276e5d090721434bd51a4,0.04588432025%
0x797aac3a4f74e46b240d13a7a14bd278bea8be11,0.04585814043%
0xd253368698ab41a3fc1fe421badc5e4c378a0cf0,0.04583713134%
0xbe73748446811ebc2a4ddddcd55867d013d6136e,0.04583130408%
0x6a474ff40095739ef317ce11d9fc935181fba27e,0.04583125124%
0x9adbba6526eba480adc28d93a2d1b2cf63795990,0.04580078898%
0xf0b3f4211808f21331952d18065921c7465efa63,0.04580008991%
0xfef93f287cdc9e646d7c13c6c979de4fffdbe8c1,0.04578180778%
0x1541ee6c579aa8081dd011b7cca4ec926547f4d1,0.04574419345%
0xd41b9761078ab0cd660a673e16d3a47fc2e7b2e7,0.04570379388%
0x80f664cd80b5e5177bb820020b8001f991052a90,0.04570330144%
0x676c4080e42e387fb7e0caa928e98b6261076a0d,0.04569310349%
0xa593d7bdf01515ee3243b71fe6546d678310cbfc,0.04568432570%
0x5da80b4274b8af2bcae8edf072876646a8194baa,0.04567329638%
0x44859b61551d3ba7a67a6953846f9b6b09491c9c,0.04566924207%
0xc1583596ce54eeed10bb850891a3c36e9ff2757b,0.04565459096%
0x1ffb8c1a94395d7dba6d5970b3cd17680554768d,0.04564037070%
0x82243fd0e1924832f10457181c14148b69a50811,0.04563963718%
0xf1b0e78a2bc422df50ec9ee4c324895c9b79f80a,0.04511435319%
0x7e8f46f0e84be9875544a21fdb69e40661229963,0.04509186012%
0x400e1caa1399e994d047fa5769958fc0e089cfe1,0.04492300468%
0xbb10a4cfbad91566b48944ebbf7292a55b484ae6,0.04466092673%
0xd8623c5b259b0b15555002c6718e257c06685cd4,0.04444818789%
0x9325eafe32eba5aa10787143ea5bc3438a7f6d2b,0.04420983487%
0xfb53cc84f5187c2f386e9895476b3decf33d4982,0.04403728636%
0x43a66d39c830174ad5d06a68e2fe21e748dea8b3,0.04378564425%
0xf7f3b3013cea41bfa34fc0b4ec4c7ea3d39191f5,0.04362478117%
0x5f222918741500fabf6eed0bb16841d028d6d350,0.04310107226%
0x6ffc40e41897421f381abf343301fdd01cccec34,0.04301377395%
0xabc028430216a38a30d75a5fe991b9d2d58de3a5,0.04295792421%
0x78bb65ed1476ae1b7168193699ae94b766a121ee,0.04293674631%
0x1aab5ad27515409cf96f8ee10c41e2fd8f0365dd,0.04287529177%
0x5c3fa65c3eb57f83c67f947321ac5969e72ed44d,0.04282806832%
